shade_id,product_id,hex,shade_name,shade_specific,skintone,undertone,shade_specific_raw,name
104520,232,#743c2b,Deep 080,080,Deep,NA,Deep,NA
104521,232,#603524,Deep 082,082,Deep,NA,Deep,NA
104522,232,#5a3421,Deep 084,084,Deep,NA,Deep,NA
104523,232,#592f19,Deep 086,086,Deep,NA,Deep,NA
104524,232,#532d20,Deep 088,088,Deep,NA,Deep,NA
104525,232,#582d1d,Deep 090,090,Deep,NA,Deep,NA
104526,232,#583321,Deep 092,092,Deep,NA,Deep,NA
104527,232,#523525,Deep 094,094,Deep,NA,Deep,NA
104528,232,#4b2a17,Deep 096,096,Deep,NA,Deep,NA
104529,232,#41200d,Deep 098,098,Deep,NA,Deep,NA
104530,232,#4b2e2a,Deep 100,100,Deep,NA,Deep,NA
104531,233,#d5c3b9,Light 002,002,Light,NA,Light,NA
104532,233,#d0aa93,Light 004,004,Light,NA,Light,NA
104533,233,#dab9aa,Light 006,006,Light,NA,Light,NA
104534,233,#caac90,Light 008,008,Light,NA,Light,NA
104535,233,#d0a690,Light 010,010,Light,NA,Light,NA
104536,233,#c79c7e,Light 012,012,Light,NA,Light,NA
104537,233,#d1a888,Light 015,015,Light,NA,Light,NA
104538,233,#c49e8b,Light 018,018,Light,NA,Light,NA
104539,233,#d2a87e,Light 021,021,Light,NA,Light,NA
104540,233,#cb9879,Light 024,024,Light,NA,Light,NA
104541,233,#be9e89,Medium 027,027,Medium,NA,Medium,NA
104542,233,#cd9e80,Medium 030,030,Medium,NA,Medium,NA
104543,233,#d0a680,Medium 033,033,Medium,NA,Medium,NA
104544,233,#d09c75,Medium 036,036,Medium,NA,Medium,NA
104545,233,#c09670,Medium 039,039,Medium,NA,Medium,NA
104546,233,#c98d68,Medium 042,042,Medium,NA,Medium,NA
104547,233,#b88663,Medium 045,045,Medium,NA,Medium,NA
104548,233,#c38e6f,Medium 048,048,Medium,NA,Medium,NA
104549,233,#c38f67,Medium 051,051,Medium,NA,Medium,NA
104550,233,#b68364,Medium 054,054,Medium,NA,Medium,NA
104551,233,#cca278,Tan 057,057,Tan ,NA,Tan,NA
104552,233,#bb906e,Tan 060,060,Tan ,NA,Tan,NA
104553,233,#b78763,Tan 063,063,Tan ,NA,Tan,NA
104554,233,#b37e5c,Tan 066,066,Tan ,NA,Tan,NA
104555,233,#ab7352,Tan 068,068,Tan ,NA,Tan,NA
104556,233,#a56647,Tan 070,070,Tan ,NA,Tan,NA
